,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
121,450,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
122,450,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
123,460,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
124,460,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
125,575,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
126,575,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
127,330,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
128,330,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
129,750,ST KILDA EAST,3,1,2,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
130,750,ST KILDA EAST,3,1,2,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
131,395,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
132,395,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
133,300,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
